taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13021097.0,A.1,1.0,2021-02-21,passed_qc,
_SRR13021097.3,A,1.0,2021-02-21,passed_qc,
_SRR13021097.17,A,1.0,2021-02-21,passed_qc,
_SRR13021097.47,A,1.0,2021-02-21,passed_qc,
_SRR13021097.48,A,1.0,2021-02-21,passed_qc,
_SRR13021097.56,A,1.0,2021-02-21,passed_qc,
_SRR13021097.57,B,1.0,2021-02-21,passed_qc,
_SRR13021097.70,A,1.0,2021-02-21,passed_qc,
_SRR13021097.83,A,1.0,2021-02-21,passed_qc,
_SRR13021097.98,A,1.0,2021-02-21,passed_qc,
_SRR13021097.100,A,1.0,2021-02-21,passed_qc,
_SRR13021097.117,A,1.0,2021-02-21,passed_qc,
_SRR13021097.163,A,1.0,2021-02-21,passed_qc,
_SRR13021097.179,A,1.0,2021-02-21,passed_qc,
_SRR13021097.190,A,1.0,2021-02-21,passed_qc,
_SRR13021097.191,A,1.0,2021-02-21,passed_qc,
_SRR13021097.217,A,1.0,2021-02-21,passed_qc,
_SRR13021097.230,A,1.0,2021-02-21,passed_qc,
_SRR13021097.239,A.1,1.0,2021-02-21,passed_qc,
_SRR13021097.254,B,1.0,2021-02-21,passed_qc,
_SRR13021097.255,A,1.0,2021-02-21,passed_qc,
_SRR13021097.265,A,1.0,2021-02-21,passed_qc,
_SRR13021097.282,A,1.0,2021-02-21,passed_qc,
_SRR13021097.290,A,1.0,2021-02-21,passed_qc,
_SRR13021097.293,A,1.0,2021-02-21,passed_qc,
_SRR13021097.302,A,1.0,2021-02-21,passed_qc,
_SRR13021097.303,A,1.0,2021-02-21,passed_qc,
_SRR13021097.304,A,1.0,2021-02-21,passed_qc,
_SRR13021097.310,A,1.0,2021-02-21,passed_qc,
_SRR13021097.314,A,1.0,2021-02-21,passed_qc,
_SRR13021097.317,A,1.0,2021-02-21,passed_qc,
_SRR13021097.324,A,1.0,2021-02-21,passed_qc,
_SRR13021097.334,A,1.0,2021-02-21,passed_qc,
_SRR13021097.425,A,1.0,2021-02-21,passed_qc,
_SRR13021097.466,A,1.0,2021-02-21,passed_qc,
_SRR13021097.470,A,1.0,2021-02-21,passed_qc,
_SRR13021097.486,A,1.0,2021-02-21,passed_qc,
_SRR13021097.488,A,1.0,2021-02-21,passed_qc,
_SRR13021097.505,A,1.0,2021-02-21,passed_qc,
_SRR13021097.536,A,1.0,2021-02-21,passed_qc,
_SRR13021097.582,A,1.0,2021-02-21,passed_qc,
_SRR13021097.589,A,1.0,2021-02-21,passed_qc,
_SRR13021097.592,A,1.0,2021-02-21,passed_qc,
_SRR13021097.598,A,1.0,2021-02-21,passed_qc,
_SRR13021097.600,A,1.0,2021-02-21,passed_qc,
_SRR13021097.604,A,1.0,2021-02-21,passed_qc,
_SRR13021097.615,A,1.0,2021-02-21,passed_qc,
_SRR13021097.616,A,1.0,2021-02-21,passed_qc,
_SRR13021097.640,A.1,1.0,2021-02-21,passed_qc,
_SRR13021097.653,A,1.0,2021-02-21,passed_qc,
_SRR13021097.664,A,1.0,2021-02-21,passed_qc,
_SRR13021097.695,A,1.0,2021-02-21,passed_qc,
_SRR13021097.716,A.6,1.0,2021-02-21,passed_qc,
_SRR13021097.725,A,1.0,2021-02-21,passed_qc,
_SRR13021097.729,A,1.0,2021-02-21,passed_qc,
_SRR13021097.749,A,1.0,2021-02-21,passed_qc,
_SRR13021097.762,A,1.0,2021-02-21,passed_qc,
_SRR13021097.778,A,1.0,2021-02-21,passed_qc,
_SRR13021097.781,A,1.0,2021-02-21,passed_qc,
_SRR13021097.790,A.3,1.0,2021-02-21,passed_qc,
_SRR13021097.810,A,1.0,2021-02-21,passed_qc,
_SRR13021097.847,A,1.0,2021-02-21,passed_qc,
_SRR13021097.852,A,1.0,2021-02-21,passed_qc,
_SRR13021097.871,A,1.0,2021-02-21,passed_qc,
_SRR13021097.894,A,1.0,2021-02-21,passed_qc,
_SRR13021097.906,A,1.0,2021-02-21,passed_qc,
_SRR13021097.911,A,1.0,2021-02-21,passed_qc,
_SRR13021097.912,A,1.0,2021-02-21,passed_qc,
_SRR13021097.925,A,1.0,2021-02-21,passed_qc,
_SRR13021097.975,A,1.0,2021-02-21,passed_qc,
_SRR13021097.982,A,1.0,2021-02-21,passed_qc,
_SRR13021097.1000,A,1.0,2021-02-21,passed_qc,
_SRR13021097.1001,A.1,1.0,2021-02-21,passed_qc,
